frame	position	phase	lumen_area	lumen_circumf	longest_distance	shortest_distance	elliptic_ratio	vector_length	vector_angle	measurement_1	measurement_2
169	5.60	-	6.73	9.23	3.09	2.78	1.11	0.53	11.08		
170	5.64	-	6.57	9.12	3.08	2.69	1.14	0.56	8.42		
171	5.67	-	6.60	9.14	3.01	2.75	1.10	0.48	12.36		
172	5.70	-	6.70	9.23	3.14	2.66	1.18	0.39	9.69		
173	5.74	-	6.49	9.09	3.10	2.62	1.18	0.34	16.77		
174	5.77	-	6.52	9.11	3.12	2.63	1.19	0.34	8.64		
175	5.80	D	6.48	9.09	3.11	2.58	1.21	0.35	14.10		
176	5.83	-	6.31	8.97	3.08	2.56	1.20	0.35	12.38		
177	5.87	-	6.31	8.98	3.07	2.53	1.21	0.39	10.32		
178	5.90	-	6.02	8.76	2.99	2.51	1.19	0.47	8.53		
179	5.93	-	6.13	8.82	2.96	2.59	1.14	0.53	6.93		
180	5.97	-	6.01	8.72	2.92	2.61	1.12	0.57	5.21		
181	6.00	S	6.20	8.87	2.97	2.64	1.13	0.56	6.36		
182	6.03	-	6.04	8.75	2.96	2.59	1.14	0.59	6.52		
183	6.07	-	6.37	9.01	3.08	2.57	1.20	0.55	8.33		
184	6.10	-	6.48	9.12	3.14	2.51	1.25	0.51	11.84		
185	6.13	-	6.43	9.06	3.10	2.54	1.22	0.39	18.51		
186	6.16	-	6.40	9.03	3.09	2.58	1.20	0.37	19.99		
187	6.20	D	6.37	9.01	3.08	2.56	1.20	0.37	19.27		
188	6.23	-	6.23	8.90	3.06	2.56	1.19	0.37	18.81		
189	6.26	-	6.21	8.91	3.03	2.51	1.21	0.38	15.85		
190	6.30	-	6.20	8.90	3.05	2.50	1.22	0.44	14.49		
191	6.33	-	6.14	8.87	3.06	2.47	1.24	0.52	13.27		
192	6.36	-	6.26	8.93	3.05	2.54	1.20	0.58	11.46		
193	6.40	-	6.36	8.98	3.04	2.62	1.16	0.58	12.02		
194	6.43	S	6.35	8.99	3.10	2.59	1.20	0.59	8.23		
195	6.46	-	6.33	8.98	3.08	2.57	1.20	0.57	8.33		
196	6.50	-	6.29	8.94	3.05	2.61	1.17	0.53	7.52		
197	6.53	-	6.30	8.95	3.08	2.58	1.19	0.46	14.35		
198	6.56	-	6.38	9.01	3.11	2.58	1.20	0.39	22.64		
199	6.59	-	6.39	9.03	3.13	2.56	1.23	0.38	21.95		
200	6.63	D	6.24	8.93	3.07	2.51	1.22	0.39	21.11		
201	6.66	-	6.10	8.84	3.08	2.47	1.25	0.42	17.02		
202	6.69	-	6.00	8.76	3.03	2.46	1.23	0.46	14.18		
203	6.73	-	6.02	8.75	3.02	2.50	1.21	0.49	10.98		
204	6.76	-	6.07	8.78	2.99	2.53	1.18	0.54	12.04		
205	6.79	-	6.14	8.82	2.97	2.62	1.13	0.56	10.84		
206	6.83	-	6.32	8.94	3.01	2.66	1.13	0.58	11.49		
207	6.86	S	6.26	8.90	3.01	2.64	1.14	0.57	10.38		
208	6.89	-	6.21	8.88	3.01	2.59	1.16	0.60	14.76		
209	6.93	-	6.38	9.00	3.08	2.61	1.18	0.56	16.99		
210	6.96	-	6.00	8.75	3.03	2.50	1.21	0.47	19.63		
211	6.99	-	5.94	8.72	3.05	2.42	1.26	0.46	19.20		
212	7.02	-	5.85	8.64	3.02	2.47	1.22	0.43	15.72		
213	7.06	D	5.81	8.63	3.04	2.41	1.26	0.45	15.48		
214	7.09	-	5.83	8.63	2.99	2.42	1.23	0.43	14.83		
215	7.12	-	5.73	8.54	2.97	2.45	1.21	0.47	14.55		
216	7.16	-	5.83	8.64	3.01	2.42	1.25	0.51	18.34		
217	7.19	-	5.88	8.66	2.98	2.48	1.20	0.58	13.24		
218	7.22	-	6.31	8.96	3.06	2.58	1.19	0.61	12.76		
219	7.26	S	6.20	8.88	3.03	2.55	1.19	0.61	12.68		
220	7.29	-	6.20	8.90	3.10	2.53	1.23	0.64	14.07		
221	7.32	-	5.92	8.69	3.01	2.47	1.22	0.60	12.88		
222	7.36	-	6.03	8.77	3.04	2.51	1.21	0.52	19.33		
223	7.39	-	5.97	8.79	3.12	2.35	1.32	0.50	23.90		
224	7.42	-	5.90	8.75	3.14	2.36	1.33	0.49	22.90		
225	7.45	D	5.88	8.73	3.11	2.34	1.33	0.49	22.72		
226	7.49	-	5.98	8.82	3.14	2.35	1.34	0.48	22.28		
227	7.52	-	5.74	8.61	3.05	2.34	1.30	0.49	21.15		
228	7.55	-	5.83	8.66	3.03	2.38	1.28	0.52	20.49		
229	7.59	-	5.73	8.56	2.97	2.40	1.24	0.55	14.07		
230	7.62	-	5.79	8.59	2.98	2.45	1.21	0.61	13.04		
231	7.65	-	5.88	8.65	3.01	2.50	1.21	0.64	12.07		
232	7.69	S	5.93	8.69	3.00	2.49	1.20	0.65	14.36		
233	7.72	-	5.86	8.67	3.05	2.42	1.26	0.64	15.06		
234	7.75	-	6.01	8.78	3.06	2.43	1.26	0.62	18.22		
235	7.78	-	5.75	8.62	3.07	2.31	1.33	0.57	20.80		
236	7.82	-	5.71	8.62	3.10	2.28	1.36	0.53	24.78		
237	7.85	-	5.75	8.64	3.10	2.32	1.34	0.51	24.79		
238	7.88	D	5.73	8.64	3.12	2.30	1.36	0.51	22.08		
239	7.92	-	5.73	8.61	3.09	2.34	1.32	0.51	25.77		
240	7.95	-	5.65	8.56	3.06	2.27	1.35	0.55	21.24		
241	7.98	-	5.62	8.52	3.05	2.32	1.31	0.59	20.80		
242	8.02	-	5.71	8.55	3.00	2.38	1.26	0.63	16.86		
243	8.05	-	5.89	8.68	3.03	2.45	1.24	0.65	14.66		
244	8.08	S	5.95	8.73	3.06	2.45	1.25	0.67	15.76		
245	8.12	-	5.96	8.73	3.05	2.47	1.23	0.66	15.52		
246	8.15	-	5.90	8.68	3.04	2.46	1.24	0.66	15.19		
247	8.18	-	5.74	8.61	3.08	2.36	1.31	0.62	23.39		
248	8.21	-	5.52	8.47	3.04	2.25	1.35	0.53	25.90		
249	8.25	-	5.66	8.58	3.08	2.29	1.34	0.51	27.71		
250	8.28	D	5.55	8.50	3.06	2.25	1.36	0.50	27.40		
251	8.31	-	5.61	8.55	3.08	2.28	1.35	0.50	27.80		
252	8.35	-	5.50	8.47	3.03	2.23	1.36	0.52	25.98		
253	8.38	-	5.54	8.46	3.00	2.29	1.31	0.56	24.49		
254	8.41	-	5.52	8.43	3.02	2.33	1.30	0.59	21.19		
255	8.45	-	5.65	8.50	2.97	2.38	1.25	0.64	19.78		
256	8.48	-	5.73	8.56	3.00	2.44	1.23	0.63	14.73		
257	8.51	S	5.70	8.52	2.96	2.44	1.21	0.63	18.94		
258	8.55	-	5.81	8.61	2.98	2.45	1.22	0.65	18.68		
259	8.58	-	5.82	8.63	3.03	2.45	1.24	0.66	21.05		
260	8.61	-	5.73	8.60	3.05	2.33	1.31	0.61	25.31		
261	8.64	-	5.42	8.41	3.02	2.22	1.36	0.55	28.79		
262	8.68	-	5.35	8.34	2.99	2.22	1.35	0.54	29.58		
263	8.71	D	5.37	8.35	2.99	2.25	1.33	0.55	30.22		
264	8.74	-	5.23	8.25	2.96	2.20	1.35	0.53	29.85		
265	8.78	-	5.33	8.33	2.99	2.21	1.35	0.56	28.15		
266	8.81	-	5.29	8.29	2.98	2.23	1.34	0.57	27.84		
267	8.84	-	5.58	8.48	3.01	2.33	1.29	0.61	22.68		
268	8.88	-	5.59	8.46	2.96	2.36	1.25	0.64	18.99		
269	8.91	S	5.79	8.61	3.01	2.42	1.24	0.67	20.88		
270	8.94	-	5.67	8.51	2.97	2.40	1.24	0.64	20.78		
271	8.98	-	5.73	8.57	3.02	2.40	1.25	0.68	21.85		
272	9.01	-	5.39	8.34	2.97	2.29	1.29	0.62	26.05		
273	9.04	-	5.01	8.08	2.94	2.17	1.36	0.53	28.56		
274	9.07	-	5.22	8.26	2.98	2.19	1.36	0.55	31.29		
275	9.11	-	5.31	8.31	2.98	2.22	1.34	0.53	32.21		
276	9.14	D	5.25	8.27	2.97	2.20	1.35	0.53	30.62		
277	9.17	-	5.29	8.29	2.96	2.24	1.32	0.53	32.42		
278	9.21	-	5.31	8.29	2.96	2.26	1.31	0.56	30.93		
279	9.24	-	5.19	8.19	2.93	2.25	1.30	0.60	27.18		
280	9.27	-	5.25	8.21	2.88	2.30	1.26	0.61	25.27		
281	9.31	-	5.59	8.46	2.97	2.39	1.25	0.66	24.55		
282	9.34	S	5.59	8.46	2.96	2.40	1.23	0.65	25.31		
283	9.37	-	5.57	8.43	2.94	2.40	1.22	0.66	24.80		
284	9.40	-	5.46	8.37	2.93	2.36	1.24	0.65	25.98		
285	9.44	-	5.04	8.04	2.82	2.24	1.26	0.56	31.05		
286	9.47	-	5.09	8.13	2.91	2.19	1.33	0.54	37.80		
287	9.50	-	5.22	8.26	2.99	2.18	1.38	0.53	38.98		
288	9.54	D	5.13	8.18	2.96	2.18	1.36	0.52	38.05		
289	9.57	-	5.11	8.17	2.94	2.17	1.36	0.51	37.34		
290	9.60	-	4.98	8.04	2.88	2.15	1.34	0.50	35.52		
291	9.64	-	4.89	7.96	2.83	2.15	1.31	0.53	33.62		
292	9.67	-	4.92	7.98	2.82	2.16	1.30	0.56	30.37		
293	9.70	-	5.14	8.13	2.87	2.26	1.27	0.60	27.95		
294	9.74	-	5.43	8.33	2.88	2.36	1.22	0.64	26.61		
295	9.77	S	5.26	8.20	2.86	2.32	1.23	0.61	27.04		
296	9.80	-	5.42	8.33	2.89	2.34	1.24	0.62	27.14		
297	9.83	-	5.06	8.08	2.84	2.21	1.29	0.60	29.88		
298	9.87	-	5.16	8.19	2.92	2.18	1.34	0.56	35.97		
299	9.90	-	5.26	8.31	3.01	2.15	1.40	0.54	39.50		
300	9.93	-	5.30	8.34	3.03	2.16	1.40	0.51	38.34		
301	9.97	D	5.27	8.30	2.99	2.17	1.38	0.50	37.14		
302	10.00	-	5.25	8.30	3.03	2.15	1.41	0.53	39.08		
303	10.03	-	5.18	8.23	2.97	2.17	1.37	0.56	37.38		
304	10.07	-	5.06	8.12	2.93	2.17	1.35	0.57	33.90		
305	10.10	-	5.17	8.16	2.89	2.24	1.29	0.62	32.14		
306	10.13	-	5.33	8.29	2.92	2.28	1.28	0.64	29.05		
307	10.17	S	5.38	8.32	2.92	2.30	1.27	0.65	30.18		
308	10.20	-	5.33	8.29	2.95	2.29	1.29	0.63	27.51		
309	10.23	-	5.49	8.40	2.93	2.34	1.25	0.62	32.80		
310	10.26	-	4.88	7.93	2.82	2.18	1.29	0.58	37.07		
311	10.30	-	4.70	7.82	2.81	2.07	1.36	0.50	43.36		
312	10.33	-	4.87	7.98	2.90	2.09	1.38	0.49	44.22		
313	10.36	-	4.99	8.11	2.95	2.08	1.42	0.49	45.53		
314	10.40	D	4.98	8.08	2.92	2.11	1.38	0.48	43.13		
315	10.43	-	4.66	7.82	2.83	2.03	1.39	0.52	42.87		
316	10.46	-	4.55	7.68	2.75	2.06	1.33	0.50	42.13		
317	10.50	-	4.61	7.73	2.76	2.07	1.34	0.56	36.88		
318	10.53	-	4.74	7.79	2.73	2.16	1.26	0.56	32.27		
319	10.56	-	5.09	8.07	2.83	2.25	1.26	0.59	31.02		
320	10.60	S	5.03	8.05	2.84	2.22	1.28	0.58	31.94		
321	10.63	-	5.22	8.18	2.86	2.28	1.25	0.60	34.96		
322	10.66	-	4.98	8.01	2.83	2.20	1.29	0.57	36.87		
323	10.69	-	5.02	8.10	2.93	2.14	1.37	0.54	44.15		
324	10.73	-	5.09	8.23	3.07	2.07	1.48	0.50	48.99		
325	10.76	-	5.11	8.27	3.09	2.03	1.52	0.50	46.26		
326	10.79	D	4.90	8.06	2.99	2.06	1.46	0.47	46.59		
327	10.83	-	4.97	8.13	3.04	2.04	1.49	0.51	46.83		
328	10.86	-	4.69	7.88	2.93	2.01	1.45	0.50	45.16		
329	10.89	-	4.85	7.97	2.91	2.08	1.40	0.53	43.45		
330	10.93	-	4.97	8.04	2.88	2.15	1.34	0.55	41.01		
331	10.96	-	5.06	8.09	2.88	2.17	1.32	0.58	37.21		
332	10.99	S	5.12	8.14	2.91	2.20	1.32	0.57	35.04		
333	11.03	-	5.09	8.13	2.90	2.18	1.33	0.60	36.21		
334	11.06	-	5.12	8.14	2.90	2.21	1.31	0.58	36.45		
335	11.09	-	4.99	8.07	2.90	2.14	1.36	0.59	42.23		
336	11.12	-	4.66	7.85	2.90	2.02	1.44	0.45	45.22		
337	11.16	-	4.87	7.99	2.91	2.11	1.38	0.46	52.05		
338	11.19	-	4.72	7.87	2.87	2.07	1.39	0.44	51.59		
339	11.22	D	4.73	7.92	2.94	2.01	1.46	0.47	48.59		
340	11.26	-	4.59	7.78	2.84	2.03	1.40	0.47	49.12		
341	11.29	-	4.52	7.71	2.83	2.01	1.41	0.50	49.64		
342	11.32	-	4.55	7.71	2.79	2.06	1.36	0.51	46.77		
343	11.36	-	4.81	7.90	2.84	2.13	1.33	0.53	43.38		
344	11.39	-	5.06	8.10	2.89	2.18	1.32	0.56	40.37		
345	11.42	S	5.14	8.19	2.94	2.18	1.35	0.55	36.07		
346	11.45	-	5.05	8.10	2.91	2.17	1.34	0.56	37.85		
347	11.49	-	4.89	7.96	2.83	2.16	1.31	0.53	42.15		
348	11.52	-	4.66	7.81	2.85	2.09	1.37	0.50	46.02		
349	11.55	-	4.45	7.69	2.85	1.96	1.46	0.45	51.35		
350	11.59	-	4.58	7.83	2.93	1.95	1.50	0.45	51.35		
351	11.62	-	4.57	7.85	2.95	1.92	1.54	0.44	53.00		
352	11.65	D	4.63	7.87	2.96	1.96	1.51	0.43	52.41		
353	11.69	-	4.61	7.84	2.92	1.97	1.48	0.47	51.96		
354	11.72	-	4.70	7.86	2.87	2.05	1.40	0.47	49.93		
355	11.75	-	4.62	7.79	2.85	2.05	1.39	0.49	47.62		
356	11.79	-	4.84	7.92	2.84	2.14	1.32	0.52	45.18		
357	11.82	S	5.00	8.06	2.92	2.17	1.35	0.52	40.96		
358	11.85	-	4.92	7.97	2.85	2.18	1.31	0.52	43.10		
359	11.88	-	4.93	7.99	2.86	2.16	1.32	0.53	43.40		
360	11.92	-	4.66	7.83	2.86	2.05	1.39	0.48	44.97		
361	11.95	-	4.58	7.82	2.93	1.95	1.50	0.44	48.78		
362	11.98	-	4.58	7.86	2.96	1.93	1.54	0.41	51.30		
363	12.02	-	4.74	7.98	2.99	1.98	1.51	0.42	55.61		
364	12.05	D	4.58	7.84	2.95	1.94	1.52	0.44	54.70		
365	12.08	-	4.64	7.92	2.98	1.94	1.54	0.43	52.11		
366	12.12	-	4.56	7.84	2.95	1.92	1.54	0.43	49.93		
367	12.15	-	4.67	7.90	2.94	1.98	1.48	0.45	48.66		
368	12.18	-	4.62	7.85	2.92	1.99	1.47	0.47	45.78		
369	12.22	-	4.92	8.06	2.98	2.09	1.42	0.47	42.09		
370	12.25	S	4.89	8.05	2.99	2.06	1.45	0.48	40.07		
371	12.28	-	4.96	8.10	3.00	2.09	1.43	0.48	42.27		
372	12.31	-	4.68	7.89	2.95	2.01	1.47	0.49	41.91		
373	12.35	-	4.54	7.78	2.90	1.94	1.49	0.49	51.57		
374	12.38	-	4.41	7.67	2.87	1.92	1.50	0.45	55.47		
